,Year/budget,MEPFS aspect,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires
"Project 164: 2x4 Calumpit, Bulacan","2020: 17,427,043.69",unit cost,"30,684.560","76,997.630","80,388.700","89,068.600","32,068.510","160,699.890","142,130.460"
"Project 165: 2x6 Concepcion, Tarlac","2020: 14,286,556.91",unit cost,"27,972.000","90,518.400","80,028.900","109,216.800","58,393.440","151,792.200","303,489.900"
"Project 166: 2x10 Concepcion, Tarlac","2020: 22,950,890.2",unit cost,"37,447.200","85,377.600","132,539.400","150,929.100","149,732.100","300,837.600","952,276.500"
"Project 167: 2x10 Concepcion, Tarlac","2020: 23,388,848.19",unit cost,"37,447.200","85,377.600","132,539.400","150,929.100","149,732.100","300,837.600","952,276.500"
"Project 168: 2x4 Balaoan, La Union","2020: 12,120,899.92",unit cost,,"38,720.000","42,885.000","37,338.000","57,326.000","95,222.000","78,145.000"
"Project 169: 2x4 San Gabriel, La Union","2020: 11,961,936.91",unit cost,,"28,660.000","44,241.000","40,829.000","61,738.000","98,665.000","87,474.000"
"Project 170: 2x6 Sudipen, La Union","2020: 18,138,493.34",unit cost,,"53,615.000","67,632.000","46,298.000","102,320.000","186,520.000","104,150.000"
"Project 171: 2x6 Alcala, Pangasinan","2020: 16,204,711.8",unit cost,"10,492.100","92,908.010","77,481.650","81,416.460","98,945.280","193,179.960","139,191.140"
"Project 172: 2x4 Santo Tomas, Pangasinan","2020: 26,765,713.42",unit cost,"19,517.190","176,497.890","106,699.300","128,831.470","194,726.550","380,572.220","208,055.480"
"Project 173: 2x4 Villasis, Pangasinan","2020: 12,013,356.38",unit cost,"10,306.800","87,494.400","56,856.240","70,616.700","94,909.500","191,377.620","104,021.820"
"Project 174: 2x4 San Quintin, Pangasinan","2020: 13,552,545.56",unit cost,"10,306.800","87,494.400","56,856.240","70,616.700","94,909.500","191,377.620","104,021.820"
Project 175: 2x4 Olongapo City,"2019: 11,747,123.96",unit cost,"348,477.640","33,275.750","45,243.160","45,641.000","28,159.230","179,293.080","70,603.180"
"Project 176: 2x4 Santol, La Union","2019: 9,535,693.24",unit cost,,"33,523.870","44,594.090","43,588.020","64,871.560","89,217.910","76,413.470"
"Project 177: 2x6 Tulong, Negros oriental","2019: 15,860,831.98",unit cost,"138,171.310","21,289.800","71,035.590","42,771.400","60,026.550","107,339.500","74,514.300"
"Project 178: 2x8 Capas, Tarlac","2019: 19,008,987.48",unit cost,"1,033,573.800","75,479.880","128,533.860","147,270.020","119,241.360","253,003.800","297,167.960"
Project 179: 2x6 Capas Tarlac,"2019: 13,050,852.26",unit cost,"701,373.120","75,479.880","88,328.310","113,423.020","46,735.080","126,452.340","236,023.310"
"Project 180: 2x8 Bamban, Tarlac","2019: 20,674,448.34",unit cost,"1,187,323.200","251,143.200","111,837.600","150,324.300","107,548.560","219,693.600","1,280,034.000"
"Project 181: 1x2 Concepcion, Tarlac","2019: 4,790,554.26",unit cost,,"20,915.960","25,672.500","37,485.000","25,410.000","62,225.630","514,762.500"
"Project 182: 2x4 Bamban, Tarlac","2019: 10,500,982.26",unit cost,"794,480.400","83,563.200","60,927.300","101,833.200","44,112.600","118,162.800","171,097.920"
"Project 183: 2x4 Capas, tarlac","2019: 10,220,155.8",unit cost,"622,314.000","92,862.000","64,449.000","101,999.520","45,901.800","134,379.000","189,875.700"
"Project 184: 2x4 Concepcion, Tarlac","2019: 10,528,728.45",unit cost,"754,771.500","66,729.600","55,036.800","94,676.400","46,831.680","117,243.000","484,060.500"
"Project 185: 2x6 Concepcion, Tarlac","2019: 13,341,965.93",unit cost,"734,542.200","73,231.200","91,488.600","95,780.160","49,039.200","134,946.000","510,766.200"
